Epoch,Value [percent*100]
0,2081
18,2081
42,2081
66,2081
90,2081
114,2081
138,2081
162,2081
186,2081
210,2081
234,2081
258,2081
282,2081
306,2081
330,2081
354,2081
378,2081
402,2081
426,2081
450,2081
474,2081
498,2081
522,2081
546,2081
570,2081
594,2081
618,2081
642,2081
666,2081
690,2081
714,2081
738,2081
762,2081
786,2081
810,2081
834,2081
858,2081
882,2081
906,2081
930,2081
954,2081
978,2081
1002,2081
1026,2081
1050,2081
1074,2081
1098,2081
1122,2081
1146,2081
1170,2081
1194,2081
1218,2081
1242,2081
1266,2081
1290,2081
1314,2081
1338,2081
1362,2081
1386,2081
1410,2081
1434,2081
1458,2081
1482,2081
1506,2081
1530,2081
1554,2081
1578,2081
1602,2081
1626,2081
1650,2081
1674,2081
1698,2081
1722,2081
1746,2081
1770,2081
1794,2081
1818,2081
1842,2081
1866,2081
1890,2081
1914,2081
1938,2081
1962,2081
1986,2081
2010,2081
2034,2081
2058,2081
2082,2081
2106,2081
2130,2081
2154,2081
2178,2081
2202,2081
2226,2081
2250,2081
2274,2081
2298,2081
2322,2081
2346,2081
2370,2081
2394,2081
2418,2081
2442,2081
2466,2081
2490,2081
2514,2081
2538,2081
2562,2081
2586,2081
2610,2081
2634,2081
2658,2081
2682,2081
2706,2081
2730,2081
2754,2081
2778,2081
2802,2081
2826,2081
2850,2081
2874,2081
2898,2081
2922,2081
2946,2081
2970,2081
2994,2081
3018,2081
3042,2081
3066,2081
3090,2081
3114,2081
3138,2081
3162,2081
3186,2081
3210,2081
3234,2081
3258,2081
3282,2081
3306,2081
3330,2081
3354,2081
3378,2081
3402,2081
3426,2081
3450,2081
3474,2081
3498,2081
3522,2081
3546,2081
3570,2081
3594,2081
3618,2081
3642,2081
3666,2081
3690,2081
3714,2081
3738,2081
3762,2081
3786,2081
3810,2081
3834,2081
3858,2081
3882,2081
3906,2081
3930,2081
3954,2081
3978,2081
4002,2081
4026,2081
4050,2081
4074,2081
4098,2081
4122,2081
4146,2081
4170,2081
4194,2081
4218,2081
4242,2081
4266,2081
4290,2081
4314,2081
4338,2081
4362,2081
4386,2081
4410,2081
4434,2081
4458,2081
4482,2081
4506,2081
4530,2081
4554,2081
4578,2081
4602,2081
4626,2081
4650,2081
4674,2081
4698,2081
4722,2081
4746,2081
4770,2081
4794,2081
4818,2081
4842,2081
4866,2080
4890,2079
4914,2078
4938,2076
4962,2075
4986,2073
5010,2071
5034,2069
5058,2067
5082,2065
5106,2063
5130,2060
5154,2057
5178,2054
5202,2050
5226,2046
5250,2041
5274,2036
5298,2030
5322,2024
5346,2017
5370,2008
5394,1999
5418,1988
5442,1975
5466,1961
5490,1945
5514,1927
5538,1909
5562,1889
5586,1870
5610,1851
5634,1834
5658,1818
5682,1803
5706,1791
5730,1779
5754,1769
5778,1761
5802,1753
5826,1747
5850,1741
5874,1736
5898,1731
5922,1727
5946,1723
5970,1720
5994,1717
6018,1714
6042,1711
6066,1709
6090,1707
6114,1705
6138,1703
6162,1701
6186,1700
6210,1698
6234,1697
6258,1696
9234,1694
9258,1693
9282,1692
9306,1690
9330,1689
9354,1687
9378,1686
9402,1684
9426,1682
9450,1680
9474,1677
9498,1675
9522,1672
9546,1669
9570,1666
9594,1662
9618,1658
9642,1653
9666,1648
9690,1642
9714,1635
9738,1627
9762,1619
9786,1609
9810,1597
9834,1584
9858,1570
9882,1553
9906,1535
9930,1516
9954,1496
9978,1476
10002,1456
10026,1438
10050,1422
10074,1407
10098,1393
10122,1382
10146,1372
10170,1363
10194,1355
10218,1348
10242,1342
10266,1336
10290,1332
10314,1327
10338,1323
10362,1320
10386,1317
10410,1314
10434,1311
10458,1309
10482,1307
10506,1305
10530,1303
10554,1301
10578,1299
10602,1298
10626,1296
10650,1295
13602,1294
13626,1293
13674,1292
13698,1291
13722,1290
13746,1289
13770,1288
13794,1287
13818,1286
13842,1285
13866,1284
13890,1282
13914,1281
13938,1279
13962,1277
13986,1275
14010,1272
14034,1270
14058,1267
14082,1263
14106,1259
14130,1255
14154,1249
14178,1244
14202,1237
14226,1229
14250,1221
14274,1212
14298,1202
14322,1191
14346,1181
14370,1171
14394,1162
14418,1153
14442,1146
14466,1139
14490,1133
14514,1128
14538,1123
14562,1119
14586,1116
14610,1113
14634,1110
14658,1107
14682,1105
14706,1103
14730,1101
14754,1100
14778,1098
14802,1097
14826,1096
14850,1095
14874,1094
14898,1093
14922,1092
14946,1091
